The Thai Chicken Pizza,43434.25,5.31
The Barbecue Chicken Pizza,42768,5.23
The California Chicken Pizza,41409.5,5.06
The Classic Deluxe Pizza,38180.5,4.67
The Spicy Italian Pizza,34831.25,4.26
The Southwest Chicken Pizza,34705.75,4.24
The Italian Supreme Pizza,33476.75,4.09
The Hawaiian Pizza,32273.25,3.95
The Four Cheese Pizza,32265.7,3.95
The Sicilian Pizza,30940.5,3.78
The Pepperoni Pizza,30161.75,3.69
The Greek Pizza,28454.1,3.48
The Mexicana Pizza,26780.75,3.27
The Five Cheese Pizza,26066.5,3.19
The Pepper Salami Pizza,25529,3.12
The Italian Capocollo Pizza,25094,3.07
The Vegetables + Vegetables Pizza,24374.75,2.98
The Prosciutto and Arugula Pizza,24193.25,2.96
The Napolitana Pizza,24087,2.95
The Spinach and Feta Pizza,23271.25,2.85
The Big Meat Pizza,22968,2.81
"The Pepperoni, Mushroom, and Peppers Pizza",18834.5,2.3
The Chicken Alfredo Pizza,16900.25,2.07
The Chicken Pesto Pizza,16701.75,2.04
The Soppressata Pizza,16425.75,2.01
The Italian Vegetables Pizza,16019.25,1.96
The Calabrese Pizza,15934.25,1.95
The Spinach Pesto Pizza,15596,1.91
The Mediterranean Pizza,15360.5,1.88
The Spinach Supreme Pizza,15277.75,1.87
The Green Garden Pizza,13955.75,1.71
The Brie Carre Pizza,11588.5,1.42
